21796388,https://en.wikipedia.org/wiki?curid=21796388,Airbag (disambiguation),Airbag is a device designed to inflate rapidly in a collision.          Airbag may also refer to:,[]
35645517,https://en.wikipedia.org/wiki?curid=35645517,Armand Havet,"Armand Havet (1795, Rouen – 1820) was a French botanist.","['1795 births', '1820 deaths', 'People from Rouen', 'French botanists']"
2207722,https://en.wikipedia.org/wiki?curid=2207722,Baleshwar Temple,"Baleshwar Temple is ancient temple dedicated to Shiva, situated within city of Champawat in Uttarakhand.           Built by the rulers of the Chand dynasty, Baleshwar Temple is a marvelous symbol of stone carving. There isn't any historical manuscript that dates the Baleshwar temple; however, it is believed to have been built between the 10th and 12th century AD.          The main Baleshwar temple is dedicated to Lord Shiva (who is also known as Baleshwar). There are two other temples in the compound of Baleshwar, one dedicated to Ratneshwar and other to Champawati Durga. Close to the Baleshwar Temple is a ""Naula"" (freshwater resource). On the day of Mahashivratri, a very crowded fair is held in the Baleshwar Temple compound.          The exteriors of Ratneshwar and Champawati Durga temples are carved with the different posters of the local deities.","['Hindu temples in Uttarakhand', 'Champawat', 'Shiva temples in India']"
8635973,https://en.wikipedia.org/wiki?curid=8635973,Colmán of Kilroot,"Saint Colman mac Cathbaid is a sixth-century Irish saint who was bishop of Kilroot (Co. Antrim), a minor see which was afterwards incorporated in the Diocese of Connor. He may have given his name to Kilmackevat (Co. Antrim).           He was a contemporary of St. Ailbe, and his feast has been kept on 16 October.","['Medieval Irish saints', '6th-century deaths', '6th-century Christian saints', 'Medieval saints of Ulster', 'People from County Antrim', '6th-century Irish people', 'Year of birth unknown']"
5238057,https://en.wikipedia.org/wiki?curid=5238057,Master of the Jewel Office,"The Master of the Jewel Office was a position in the Royal Households of England, the Kingdom of Great Britain and the United Kingdom. The office holder was responsible for running the Jewel House, which houses the Crown Jewels. This role has, at various points in history, been called Master or Treasurer of the Jewel House, Master or Keeper of the Crown Jewels, Master or Keeper of the Regalia, and Keeper of the Jewel House. In 1967, the role was combined with Resident Governor of the Tower of London.          Sir Robert Howard died during the English Civil War (1642–51). A successor was appointed at the restoration of the monarchy under Charles II in 1660.          In 1782, the office was closed and its duties were transferred to the Lord Chamberlain. It was revived in the 19th century.          ""For subsequent appointments see Resident Governor of the Tower of London and Keeper of the Jewel House""","['Positions within the British Royal Household', 'Tower of London']"
29824264,https://en.wikipedia.org/wiki?curid=29824264,Kammer,Kammer (German) translates to chamber. It is used as an affix in words such as Kammersänger and Schatzkammer.          Kammer as a surname may refer to:          Kammer as a placename may refer to:,[]
12465281,https://en.wikipedia.org/wiki?curid=12465281,Bahía de los Ángeles Airport,"Bahía de los Ángeles Airport is a paved airstrip located 2 miles North of Bahía de los Ángeles, Baja California, Mexico. It handles general aviation service for the town of Bahía de los Ángeles. There is a permanent military guard for the security of the facilities and the aircraft, although two aircraft were reported stolen from the airport, both in 2009.",['Airports in Baja California']
30940007,https://en.wikipedia.org/wiki?curid=30940007,2011 Morocco Tennis Tour – Casablanca – Singles,"Evgeny Donskoy won the title, defeating Alessio di Mauro 2–6, 6–3, 6–3 in the final.","['2011 ATP Challenger Tour', 'Morocco Tennis Tour \xe2\x80\x93 Casablanca']"
6434245,https://en.wikipedia.org/wiki?curid=6434245,Traumatin,Traumatin is a plant hormone produced in response to wound. Traumatin is a precursor to the related hormone traumatic acid.,"['Fatty aldehydes', 'Fatty acids', 'Plant hormones']"
34904709,https://en.wikipedia.org/wiki?curid=34904709,Alliance for the Republic (Senegal),"The Alliance for the Republic–Yakaar () is a political party in Senegal. It was formed by former Prime Minister Macky Sall after his departure from the Senegalese Democratic Party (PDS) in December 2008. Macky Sall was also APR's candidate in the 2012 presidential election in which he defeated incumbent President Abdoulaye Wade. APR was joined by several former members of the PDS.          It is the dominant partner in the United in Hope coalition, which holds a large majority in the National Assembly.",['Political parties in Senegal']
43351358,https://en.wikipedia.org/wiki?curid=43351358,2009 Team Columbia–HTC Women season,"The 2009 season was the eighth for the Team Columbia-High Road Women cycling team, which began as the T-Mobile team in 2003. The main new riders for the team were the European Time Trial Champion Ellen van Dijk and the Canadian national champion Alex Wrubleski. Alexis Rhodes and Madeleine Sandig left the team and Anke Wichmann and Oenone Wood both retired.          The team was presented together with the males team on 11 January 2009 in Mallorca.          The main new rider for the team was Ellen van Dijk, 21 years old, a time trial specialist and the European Time Trial Champion (under-23). The Canadion Alex Wrubleski, national champion and the winner of the Redlands Bicycle Classic also joined the team.          The contract of Alexis Rhodes ended and she moved to Webcor on the recommendation of Scrymgeour. Madeleine Sandig moved to Equipe Nürnberger Versicherung and Anke Wichmann and Oenone Wood retired.          The season started for the team with the Ladies Tour of Qatar in February. Ellen van Dijk secured the Best Young Rider prize, with consistency after taking the jersey on the first day when she made it into the front group of 21 riders and finished third. The last hour of the last stage was a tense affair for the Dutchwoman, when she was caught on the wrong side of a split. She had to get past seven groups and finally crossed the line in sixth place, in the same time as stage winner, and won the overall Best Young Rider’s classification.          Judith Arndt finished 4th in the individual and the team finished 5th in the teams overall standing.          The team finished second in the UCI ranking for teams, behind Cervélo TestTeam (women).","[""2009 UCI Women's Teams seasons"", '2009 in American sports', 'Velocio\xe2\x80\x93SRAM Pro Cycling']"
48259641,https://en.wikipedia.org/wiki?curid=48259641,1636 in Spain,Events from the year 1636 in Spain,"['1636 in Spain', '1630s in Spain', 'Years of the 17th century in Spain']"
33704353,https://en.wikipedia.org/wiki?curid=33704353,National Lyceum (São Tomé and Príncipe),"National Lyceum is a lyceum located at Avenida Marginal 12 Julho, São Tomé, São Tomé and Príncipe. One of the leading educational institutions in this small African island nation, it is located on the seafront, just the north of the Taiwanese Embassy and Hotel Miramar and southeast of the National Library of São Tomé and Príncipe. The students of the university are known to participate in World Meteorological Day.","['Buildings and structures in S\xc3\xa3o Tom\xc3\xa9', 'Universities and colleges in S\xc3\xa3o Tom\xc3\xa9 and Pr\xc3\xadncipe']"
37331091,https://en.wikipedia.org/wiki?curid=37331091,Comet (pinball),"Comet is a pinball machine released by Williams in June 1985. It was designed by Barry Oursler and was the first in a Rollercoaster/Carnival themed pinball trilogy followed by ""Cyclone"" in 1988 and ""Hurricane"" in 1991.          In this pinball game, the player attempts to navigate throughout a representation of a Carnival, with the namesake ""Comet"" being a central ramp representing a roller coaster, normally worth 10,000 points. Two banks of Shooting Gallery targets (""Rabbits"" and ""Ducks"") can be targeted to score points and advance the matching bonus counter. Each bonus track is worth a maximum of 63,000 points. Hitting all four targets in a target bank lights an additional objective, which allows you to collect the matching bonus during play by completing the Whirlwind ramp (for Ducks) or the Funhouse saucer (for Rabbits). Completing both target banks lights additional points for the center ramp (30,000, 50,000, 100,000, and one more 100,000 per sequential shot), including the chance for extra balls and replays depending on specific game settings. Completing the ramp advances both bonuses.          The most definitive feature of Comet is a ""Motorcycle Jump"" ramp on the upper-right side of the playfield. This features a Skee ball-like scoring setup, where the closest target is worth 20,000, the middle target is worth 50,000, and the farthest target is worth 200,000. Completing the ramp advances both bonuses. The ramp starts each ball in a lit state, then becomes unlit after being scored.          ""Comet"" features a relatively unique flipper area arrangement. On the right side, there is no inlane and on the left side, the inlane and outlane are inverted. What would normally be an inlane on a conventional pinball machine instead causes the ball to drain. The left inlane relights the Motorcycle Jump ramp, and the two outlanes advance the bonus.          Next to the central ""Comet"" ramp is a drop target that reveals the ""Dunk The Dummy"" target. Once the drop target is hit, the ""dummy"" will taunt the player using voice sounds (""Hey Turkey!"", ""Hit me, Turkey!""). Hitting the Dunk The Dummy target will increase the bonus multiplier by one step(2x, 3x, 5x).          At the top of the playfield is a set of four rollover targets that spell out ""1-9-8-6"". Completing these four targets will activate a playfield point multiplier for a limited time. By default this is a 2x multiplier, but is 3x on the second ball, and 5x on the final ball (i.e. ""2x, 3x, 5x"" in three-ball play and ""2x, 3x, 2x, 2x, 5x"" in five-ball play). ""Comet"" has the ability to cycle the already lit targets towards the right by activating the right flipper, using the ""Lane Change"" feature.          If the 5x playfield multiplier is lit at the same time as the Motorcycle Jump ramp is lit, a voice will announce ""One Million!"" and additional playfield lights will highlight the Motorcycle Jump ramp. Completing the longest jump at this time will award one million points (200,000 times 5x). ""Comet"" was the first solid-state machine to feature a one million point shot.","['Williams pinball machines', '1985 pinball machines']"
17421666,https://en.wikipedia.org/wiki?curid=17421666,John Mulroy,John Mulroy may refer to:,[]
7462748,https://en.wikipedia.org/wiki?curid=7462748,Mullaghanish,"Mullaghanish () is a 650m high mountain in the Derrynasaggart range, located just northeast of Ballyvourney in County Cork, Ireland.          This site is home to one of Telefís Éireann's original five main television transmitters. Coming on air in December 1962, initially on low power, it was in full operation by September 1963 with a 625-line VHF service for the Southwest of Ireland, namely counties Cork, Kerry and Limerick. Today it is owned and operated by 2RN a subsidiary of RTÉ. In 2009 in preparation for the transmission of digital terrestrial television (DTT), a new mast was erected at Mullaghanish with a height of 225m, making it the tallest television transmitter in Ireland, the original 170m mast was subsequently removed. Analogue television transmissions from this site ended on 24 October 2012, and the national DTT service, Saorview, is now broadcast from Mullaghanish at an ERP of 200 kW, making this the most powerful television transmitter in all of Ireland, a distinction formerly attributed to the Cairn Hill (analogue) transmitter in County Longford.          As well as digital television, six national FM radio services are broadcast from the site, all using vertical polarisation. Local station, Radio Kerry, is broadcast from a directional antenna pointing west, into its target service area of County Kerry, and Newstalk is broadcast in mono.          The Mullaghanish transmitter also has the highest number of relays (20) of any television transmitter in Ireland reflecting the difficult topography of its service area.","['Radio masts and towers in Europe', 'Marilyns of Ireland', 'Hewitts of Ireland', 'Mountains and hills of County Kerry', 'Mountains and hills of County Cork', 'Radio in Ireland', 'Media in the Republic of Ireland', 'Transmitter sites in Ireland', 'Mountains under 1000 metres']"
